grove,area_ha_moderate_immediate,area_ha_high_immediate,perc_moderate_immediate,perc_high_immediate,area_ha_total,perc_total,area_ha_longterm,perc_longterm
Deer Creek,8.127325535,0.895937401,57.37319194,6.324686793,9.023262936,63.69787873,9.686296575,0.095592079
Packsaddle,15.73760821,1.034355277,22.24408681,1.461993987,16.77196348,23.7060808,13.40072233,0.132248987
Starvation Creek,7.380411496,0.751301108,72.25254864,7.355066841,8.131712604,79.60761548,8.507651228,0.083960269
Long Meadow,14.40385282,1.61756523,16.61602387,1.865993968,16.02141805,18.48201784,12.82226631,0.126540323
South Peyrone,2.185546212,0,16.69254314,0,2.185546212,16.69254314,1.660297435,0.016385136
Peyrone,7.180421217,0,7.828335402,0,7.180421217,7.828335402,4.834063915,0.047706388
Redhill,29.53234002,7.170946741,17.01053634,4.130443103,36.70328676,21.14097944,33.0493392,0.326157166
Carr Wilson,1.040504063,0.612485646,19.3946764,11.41654448,1.652989709,30.81122088,1.704293795,0.016819327
Black Mountain,31.4781888,3.020442326,5.956915168,0.571586848,34.49863113,6.528502016,22.65082567,0.223536364
Mountain Home,100.5518646,13.13789048,8.869417456,1.158859019,113.6897551,10.02827647,101.0150488,0.996896849
Middle Tule,2.14612194,0.352864123,1.103547536,0.181444645,2.498986063,1.284992181,1.214086995,0.011981576
Dillonwood,32.79610494,9.600516768,7.792713154,2.281187764,42.39662171,10.07390092,41.57375211,0.410282853
Dillonwood - West,0.439133217,0.011111177,26.52036164,0.671031965,0.450244394,27.1913936,0.188213373,0.001857439
Garfield,11.32484731,4.647945361,2.269717837,0.931537901,15.97279267,3.201255738,8.994726809,0.088767119
South Fork,0.019988219,0,0.020465722,0,0.019988219,0.020465722,3.08E-04,3.04E-06
Cedar Flat,0.045607955,0,0.740822089,0,0.045607955,0.740822089,0.04241128,4.19E-04
Wheel Meadow,112.8012286,37.47502316,48.36201435,16.06691373,150.2762517,64.42892808,148.5894246,1.466398629
McIntyre,30.88193006,6.266457021,27.35334902,5.550449266,37.14838708,32.90379828,33.31963925,0.328824702
Belk0p Camp,7.29947736,2.57276515,18.01679929,6.350179752,9.87224251,24.36697904,8.607336005,0.084944038
Freeman Creek,136.4164064,183.7836902,23.85646432,32.14004214,320.2000966,55.99650646,301.9833041,2.980211441
Alder Creek,51.32160503,10.76915715,22.77527849,4.779089686,62.09076218,27.55436818,59.79006649,0.590055933
Burro Creek,0.028632137,0,0.062370445,0,0.028632137,0.062370445,0,0
Silver Creek,0.318599612,0,1.267325179,0,0.318599612,1.267325179,0.201876856,0.001992281
Board Camp,8.674857851,6.016152821,44.45741898,30.83193192,14.69101067,75.2893509,15.12847639,0.149299838
Homers Nose,16.27496412,6.849320953,33.83013999,14.23741921,23.12428507,48.0675592,21.70012408,0.214154085
East Fork,0.650076294,0,0.216470665,0,0.650076294,0.216470665,0,0
New Oriole Lake,1.005920722,0.10978653,16.85961502,1.840064122,1.115707252,18.69967914,0.666273475,0.006575317
Redwood Creek,0.220916179,0,1.143654135,0,0.220916179,1.143654135,0.422212568,0.004166729
Atwell,3.303248555,0.167422819,0.8918016,0.045200334,3.470671374,0.937001934,1.739006903,0.017161903
Squirrel Creek,0.040616256,0,1.43576727,0,0.040616256,1.43576727,0.140538215,0.001386943
Oriole Lake,0.13600424,0,0.228638242,0,0.13600424,0.228638242,0.088699951,8.75E-04
Castle Creek,2.928413835,0.181176217,3.30848688,0.20469072,3.109590052,3.513177601,2.18562645,0.0215695
Forgotten,0.020196641,0,2.731300899,0,0.020196641,2.731300899,0.003972721,3.92E-05
Coffee Pot,0.026624941,0,0.18104825,0,0.026624941,0.18104825,0.030666387,3.03E-04
Salt Creek Ridge,0.281350162,0,2.400527188,0,0.281350162,2.400527188,0.030669772,3.03E-04
Mo0che Tubs,1.231060104,0,12.07008549,0,1.231060104,12.07008549,1.54377517,0.015235201
Nutmeg,0.072263135,0,0.271878652,0,0.072263135,0.271878652,0,0
Giant Forest,0.982846931,0,0.115270299,0,0.982846931,0.115270299,0.802438532,0.007919102
Suwanee,3.677500227,0.022163006,13.1691634,0.079365937,3.699663234,13.24852934,2.273170228,0.022433452
Skagway,0.544377764,0,2.20640952,0,0.544377764,2.20640952,0.354842161,0.003501865
Muir,1.79931489,0,1.814819074,0,1.79931489,1.814819074,2.057012691,0.020300237
Kennedy,3.01636429,0.376655601,4.114493787,0.51377983,3.393019891,4.628273617,3.62205341,0.035745304
Pine Ridge,0.025958653,0,0.146326096,0,0.025958653,0.146326096,0.002988557,2.95E-05
Redwood Mountain,135.8051935,41.89445519,12.8252865,3.956464232,177.6996486,16.78175073,190.4277494,1.879292497
General Grant,4.944704183,0.416723078,7.296851099,0.614954128,5.361427261,7.911805228,2.762435436,0.02726191
Abbott,0.032951982,0,1.012471612,0,0.032951982,1.012471612,0,0
Cherry Gap,0.238896467,0,0.92816702,0,0.238896467,0.92816702,0.135216943,0.001334428
Deer Meadow,0.215716348,0,0.856439944,0,0.215716348,0.856439944,0.162210463,0.001600822
Agnew,0.266694662,0,6.578865073,0,0.266694662,6.578865073,0.194660099,0.001921061
Evans,24.6252191,7.992413152,6.349598869,2.060839228,32.61763225,8.410438097,25.45477186,0.251207935
Lockwood,5.753545546,0.026599132,21.58673529,0.099797319,5.780144678,21.68653261,6.171081141,0.060901137
Hoist Ridge,2.834942537,0,13.98449658,0,2.834942537,13.98449658,2.673790786,0.026387094
Converse Basin,18.13552634,2.371697403,2.903107183,0.379657675,20.50722374,3.282764859,12.83613053,0.126677146
Verplank,1.986563113,1.398002134,18.71068515,13.16725233,3.384565246,31.87793748,3.389202774,0.033447349
Converse Saddle,0.077544278,0,0.827753163,0,0.077544278,0.827753163,0.004425972,4.37E-05
Converse Mountain,7.677241915,2.847402058,56.96476526,21.12758614,10.52464397,78.0923514,11.01081398,0.10866347
Cabin Creek,2.724189606,0,4.496240445,0,2.724189606,4.496240445,2.368005896,0.023369366
Nelder,16.01586467,5.1962791,11.96344762,3.881489644,21.21214377,15.84493727,21.45386185,0.211723773
All,869.7054156,359.5867035,8.5829448,3.548687604,1229.292119,12.1316324,1145.672856,11.306411
