Grove,Ownership type,Managing agency/organization,Management unit name,Approximate hectares
Abbott,Federal,US Forest Service,Giant Sequoia National Monument,3.3
Agnew,Federal,US Forest Service,Giant Sequoia National Monument,4.1
Alder Creek,Federal,US Forest Service,Giant Sequoia National Monument,55.9
,Private,Private landowners,Private,39.1
,Non-profit,Save the Redwoods League,Alder Creek,130.4
Atwell,Federal,National Park Service,Sequoia and Kings Canyon National Parks,370.4
Bearskin,Federal,US Forest Service,Giant Sequoia National Monument,28.1
Belknap Camp,Federal,US Forest Service,Giant Sequoia National Monument,38.7
,Private,Private landowners,Private,1.2
Big Springs,Federal,National Park Service,Sequoia and Kings Canyon National Parks,1
Big Stump,Federal,US Forest Service,Giant Sequoia National Monument,61.2
,Private,Private landowners,Private,0.5
,Federal,National Park Service,Sequoia and Kings Canyon National Parks,52.8
Black Mountain,Federal,US Forest Service,Giant Sequoia National Monument,501
,Private,Private landowners,Private,25.3
Board Camp,Federal,National Park Service,Sequoia and Kings Canyon National Parks,19.5
Boulder Creek,Federal,US Forest Service,Giant Sequoia National Monument,10.3
Burro Creek,Federal,US Forest Service,Giant Sequoia National Monument,45.9
,State,California Department of Forestry and Fire Protection (CAL FIRE),Mountain Home Demonstration State Forest,0.01
Cabin Creek,Federal,US Forest Service,Giant Sequoia National Monument,60.6
Cahoon,Federal,National Park Service,Sequoia and Kings Canyon National Parks,5.8
Calaveras North Grove,State,California State Parks,Calaveras Big Trees State Park,24.6
Calaveras South Grove,State,California State Parks,Calaveras Big Trees State Park,147.7
Carr Wilson,Federal,US Forest Service,Giant Sequoia National Monument,5.4
Case Mountain,Federal,Bureau of Land Management,Case Mountain Extensive Recreation Management Area,17
Castle Creek,Federal,National Park Service,Sequoia and Kings Canyon National Parks,88.5
Cedar Flat,Federal,National Park Service,Sequoia and Kings Canyon National Parks,6.2
Cherry Gap,Federal,US Forest Service,Giant Sequoia National Monument,25.7
Clough Cave,Federal,National Park Service,Sequoia and Kings Canyon National Parks,0.6
Coffee Pot,Federal,Bureau of Land Management,Case Mountain Extensive Recreation Management Area,3.2
,Private,Private landowners,Private,11.5
Coffeepot Canyon,Federal,National Park Service,Sequoia and Kings Canyon National Parks,2.4
Converse Basin,Federal,US Forest Service,Giant Sequoia National Monument,624.7
Converse Mountain,Federal,US Forest Service,Giant Sequoia National Monument,13.5
Converse Saddle,Federal,US Forest Service,Giant Sequoia National Monument,9.4
Cunningham,Federal,US Forest Service,Giant Sequoia National Monument,4.1
Deer Creek,Federal,US Forest Service,Giant Sequoia National Monument,14.2
Deer Meadow,Federal,US Forest Service,Giant Sequoia National Monument,25.2
Dennison,Federal,US Forest Service,Giant Sequoia National Monument,0.2
,Federal,National Park Service,Sequoia and Kings Canyon National Parks,5.2
Devil's Canyon,Federal,National Park Service,Sequoia and Kings Canyon National Parks,3.6
Dillonwood,Federal,US Forest Service,Giant Sequoia National Monument,89.1
,Federal,National Park Service,Sequoia and Kings Canyon National Parks,336
Dillonwood - West,Federal,US Forest Service,Giant Sequoia National Monument,1.7
Douglass,Federal,National Park Service,Sequoia and Kings Canyon National Parks,0.4
East Fork,Federal,National Park Service,Sequoia and Kings Canyon National Parks,300.3
Eden Creek,Federal,National Park Service,Sequoia and Kings Canyon National Parks,176
Evans,Federal,US Forest Service,Giant Sequoia National Monument,387.8
Fenced Tree,Federal,National Park Service,Sequoia and Kings Canyon National Parks,0.2
Forgotten,Federal,National Park Service,Sequoia and Kings Canyon National Parks,0.7
Freeman Creek,Federal,US Forest Service,Giant Sequoia National Monument,568.2
,Private,Private landowners,Private,3.7
Garfield,Federal,National Park Service,Sequoia and Kings Canyon National Parks,494.6
General Grant,Federal,US Forest Service,Giant Sequoia National Monument,20.5
,Federal,National Park Service,Sequoia and Kings Canyon National Parks,47.3
Giant Forest,Federal,National Park Service,Sequoia and Kings Canyon National Parks,852.6
Granite Creek,Federal,National Park Service,Sequoia and Kings Canyon National Parks,0.6
Hoist Ridge,Federal,US Forest Service,Giant Sequoia National Monument,20.3
Homers Nose,Federal,National Park Service,Sequoia and Kings Canyon National Parks,48.1
Horse Creek,Federal,National Park Service,Sequoia and Kings Canyon National Parks,20.4
Indian Basin,Federal,US Forest Service,Giant Sequoia National Monument,86
Kaweah Tree,Private,Private landowners,Private,0.1
Kennedy,Federal,US Forest Service,Giant Sequoia National Monument,73.3
Ladybug,Federal,Bureau of Land Management,Case Mountain Extensive Recreation Management Area,0.6
,Private,Private landowners,Private,0.3
Landslide,Federal,US Forest Service,Giant Sequoia National Monument,17.5
Little Boulder,Federal,US Forest Service,Giant Sequoia National Monument,30.6
Little Redwood Meadow,Federal,National Park Service,Sequoia and Kings Canyon National Parks,11.3
Lockwood,Federal,US Forest Service,Giant Sequoia National Monument,26.7
Long Meadow,Federal,US Forest Service,Giant Sequoia National Monument,86.7
Lost,Federal,National Park Service,Sequoia and Kings Canyon National Parks,14.3
Maggie Mountain,Federal,US Forest Service,Giant Sequoia National Monument,10.3
,State,California Department of Forestry and Fire Protection (CAL FIRE),Mountain Home Demonstration State Forest,0.5
Mariposa,Federal,National Park Service,Yosemite National Park,109.4
McIntyre,Federal,US Forest Service,Giant Sequoia National Monument,112.9
McKinley,Federal,US Forest Service,Sierra National Forest,23.1
Merced,Federal,National Park Service,Yosemite National Park,6.4
Middle Tule,Federal,US Forest Service,Giant Sequoia National Monument,65.7
,State,California Department of Forestry and Fire Protection (CAL FIRE),Mountain Home Demonstration State Forest,128.8
Monache Tubs,Federal,Bureau of Land Management,Case Mountain Extensive Recreation Management Area,6.6
,Private,Private landowners,Private,3.6
Monarch,Federal,US Forest Service,Giant Sequoia National Monument,3.1
Mountain Home,Federal,US Forest Service,Giant Sequoia National Monument,150.3
,State,California Department of Forestry and Fire Protection (CAL FIRE),Mountain Home Demonstration State Forest,891.8
,Private,Private landowners,Private,31.4
,County,Tulare County,Balch Park,60.2
Muir,Federal,National Park Service,Sequoia and Kings Canyon National Parks,99.1
Nelder,Private,Private landowners,Private,3.5
,Federal,US Forest Service,Sierra National Forest,130.3
New Oriole Lake,Federal,National Park Service,Sequoia and Kings Canyon National Parks,6
Nutmeg,Federal,Bureau of Land Management,Case Mountain Extensive Recreation Management Area,9.4
,Private,Private landowners,Private,17.2
Oriole Lake,Federal,National Park Service,Sequoia and Kings Canyon National Parks,59.5
Packsaddle,Federal,US Forest Service,Giant Sequoia National Monument,70.7
Peyrone,Federal,US Forest Service,Giant Sequoia National Monument,91.7
Pine Ridge,Federal,National Park Service,Sequoia and Kings Canyon National Parks,17.7
Placer County Big Trees,Federal,US Forest Service,Tahoe National Forest,1.2
Powderhorn Tree,Federal,US Forest Service,Giant Sequoia National Monument,0.1
Putnam-Francis Tree,Federal,National Park Service,Sequoia and Kings Canyon National Parks,0.1
Redhill,Federal,US Forest Service,Giant Sequoia National Monument,173.2
Redwood Creek,Federal,National Park Service,Sequoia and Kings Canyon National Parks,19.4
Redwood Meadow,Federal,National Park Service,Sequoia and Kings Canyon National Parks,72.6
Redwood Mountain,Federal,US Forest Service,Giant Sequoia National Monument,93.3
,Private,Private landowners,Private,1.9
,Federal,National Park Service,Sequoia and Kings Canyon National Parks,841.9
,State,"University of California, Berkeley",Whittaker's Forest,121.8
Salt Creek Ridge,Private,Private landowners,Private,11.7
Sequoia Creek,Federal,National Park Service,Sequoia and Kings Canyon National Parks,6.4
Silver Creek,Federal,US Forest Service,Giant Sequoia National Monument,15.5
,State,California Department of Forestry and Fire Protection (CAL FIRE),Mountain Home Demonstration State Forest,9.6
Skagway,Federal,National Park Service,Sequoia and Kings Canyon National Parks,24.7
South Fork,Federal,National Park Service,Sequoia and Kings Canyon National Parks,97.7
South Peyrone,Federal,US Forest Service,Giant Sequoia National Monument,12.9
Squirrel Creek,Federal,National Park Service,Sequoia and Kings Canyon National Parks,2.8
Starvation Creek,Federal,US Forest Service,Giant Sequoia National Monument,10.2
Surprise,Federal,National Park Service,Sequoia and Kings Canyon National Parks,9.1
Suwanee,Federal,National Park Service,Sequoia and Kings Canyon National Parks,27.9
Tuolumne,Federal,National Park Service,Yosemite National Park,10.2
Upper Tule,Federal,US Forest Service,Giant Sequoia National Monument,2.8
Verplank,Federal,US Forest Service,Giant Sequoia National Monument,10.6
Wheel Meadow,Federal,US Forest Service,Giant Sequoia National Monument,233.8
Wishon,Federal,US Forest Service,Giant Sequoia National Monument,6
